id,tokens,ner_tags
0,"                           Mathématicien


     <PER> CLÉON Ier </PER> — ... dernier <PER> Empereur </PER> galactique de la
dynastie Entun.","[0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"Né en l’an 11988 de l’Ère Galactique, la même
année que <PER> Hari Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0]"
2,"(On pense que la date de naissance de
<PER> Seldon </PER> , que certains estiment douteuse, aurait pu être
« ajustée » pour coïncider avec celle de <PER> Cléon </PER>  que <PER> Seldon </PER> , peu
après son arrivée sur Trantor, est censé avoir rencontré.)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"<PER> Cléon </PER>  est monté sur le trône impérial en 12010, à l’âge de
vingt-deux ans, et son règne représente un étrange intervalle
de calme dans ces temps troublés.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"Cela est dû sans aucun doute
aux talents de son chef d’état-major, <PER> Eto Demerzel </PER> , qui sut si
bien se dissimuler à la curiosité médiatique que l’on a fort peu
de renseignements à son sujet.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"<PER> Cléon </PER> , quant à lui...
                                       ENCYCLOPAEDIA GALACTICA2






     Étouffant un léger bâillement, <PER> Cléon </PER>  demanda :
« <PER> Demerzel </PER> , auriez-vous, par hasard, entendu parler d’un
certain <PER> Hari Seldon </PER>  ?","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0]"
6,"»
     <PER> Cléon </PER>  était empereur depuis dix ans à peine et, quand le
protocole l’exigeait, il y avait des moments où, pourvu qu’il fût
revêtu des atours et ornements idoines, il réussissait à paraître
majestueux.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"Il y était arrivé, par exemple, pour son portrait

     2 Toutes les citations de l'Encyclopaedia Galactica reproduites ici
proviennent de la 116e édition, publiée en 1020 E.F. par la Société
d’édition de l'Encyclopaedia Galactica, Terminus, avec l'aimable
autorisation des éditeurs.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"semblerait malgré tout qu’il puisse encore arriver des choses
intéressantes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"Du moins, à ce que j’ai entendu dire.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
